geracao,melhor_fitness,media_fitness
0,37,-32.42
1,35,4.69
2,34,4.04
3,40,16.46
4,31,16.85
5,47,6.69
6,33,-6.15
7,32,19.49
8,36,27.5
9,42,23.18
10,37,9.95
11,38,-53.12
12,40,12.94
13,46,27.77
14,38,25.71
15,33,18.94
16,36,5.99
17,34,18.8
18,41,26.49
19,42,27.03
20,35,2.85
21,38,26.89
22,41,23.88
23,44,32.23
24,34,27.82
25,39,24.14
26,35,26.89
27,35,21.36
28,41,20.67
29,38,24.79
30,33,13.85
31,37,6.85
32,40,30.88
33,37,-10.76
34,49,27.34
35,32,22.1
36,32,13.54
37,36,23.45
38,42,30.66
39,43,21.58
40,47,26.2
41,43,21.88
42,38,16.67
43,40,19.6
44,40,9.79
45,30,15.4
46,40,30.04
47,39,24.45
48,39,17.73
49,37,25.99
